objective value:                     4487.51582646449
t#192                              -0.959477886645392 	(obj:0)
t#193                              -0.982568672565628 	(obj:0)
t#194                              -0.822888319048775 	(obj:0)
t#195                              -0.911429261924891 	(obj:0)
t#196                              -0.987300757234109 	(obj:0)
t#197                              -0.944603914868698 	(obj:0)
t#198                              -0.911429261924891 	(obj:0)
t#199                              -0.944714770329508 	(obj:0)
t#200                              -0.981079341385138 	(obj:0)
t#201                               -0.90375784022796 	(obj:0)
t#202                               -0.93120483919162 	(obj:0)
t#203                               -0.93109398373081 	(obj:0)
t#204                              -0.959616687230714 	(obj:0)
t#205                              -0.944172152994616 	(obj:0)
t#206                              -0.974940835872464 	(obj:0)
t#207                              -0.978273254718569 	(obj:0)
t#208                              -0.959367031184582 	(obj:0)
t#209                              -0.984266204624102 	(obj:0)
t#210                              -0.268566396706546 	(obj:0)
t#211                              -0.908256833766803 	(obj:0)
t#212                              -0.987522468155728 	(obj:0)
t#213                              -0.858304971460428 	(obj:0)
t#214                              -0.944714770329508 	(obj:0)
t#215                              -0.984328849894945 	(obj:0)
t#216                              -0.968276923217495 	(obj:0)
t#217                              -0.882632937164441 	(obj:0)
t#218                              -0.882632937164441 	(obj:0)
t#219                              -0.549759609634953 	(obj:0)
t#220                              -0.941478771863337 	(obj:0)
t#221                              -0.982457817104819 	(obj:0)
t#222                              -0.983677227173724 	(obj:0)
t#223                              -0.718164049207808 	(obj:0)
t#224                               -0.92177351992651 	(obj:0)
t#225                              -0.978951897527062 	(obj:0)
t#226                              -0.978951897527062 	(obj:0)
t#227                              -0.943847266671246 	(obj:0)
t#228                              -0.945169852141903 	(obj:0)
t#229                              -0.981155496699617 	(obj:0)
t#230                              -0.909965746033295 	(obj:0)
t#231                               -0.85507998768731 	(obj:0)
t#232                              -0.974053992185988 	(obj:0)
t#233                              -0.825548850108204 	(obj:0)
t#234                              -0.983490216398436 	(obj:0)
t#235                              -0.725282763914033 	(obj:0)
t#236                              -0.994893893780943 	(obj:0)
t#237                              -0.994893893780943 	(obj:0)
t#238                              -0.848685071106687 	(obj:0)
t#239                              -0.881829649090364 	(obj:0)
t#240                              -0.945586253897868 	(obj:0)
t#241                              -0.989087954650698 	(obj:0)
t#242                              -0.894712202482584 	(obj:0)
t#243                              -0.880942805403889 	(obj:0)
t#244                              -0.987882979662669 	(obj:0)
t#245                                -0.9793953193703 	(obj:0)
t#246                              -0.916005981091555 	(obj:0)
t#247                              -0.880942805403889 	(obj:0)
t#248                              -0.987931189852636 	(obj:0)
t#249                              -0.940037650872813 	(obj:0)
t#250                               -0.84845660516325 	(obj:0)
