#when lamba is 1000, there are 12 non-zero variables decision
SCIP> display solution

objective value:                     3957.03606457932
z                                    3486.91441788869 	(obj:1)
t#498                              -0.847138608456333 	(obj:0)
t#499                              -0.661050430134543 	(obj:0)
t#500                              -0.334740695639486 	(obj:0)
t#501                              -0.988172222789871 	(obj:0)
t#502                               -1.04033076435494 	(obj:0)
t#503                              -0.813519219350136 	(obj:0)
t#504                              -0.495323016210773 	(obj:0)
t#505                              -0.813117640091506 	(obj:0)
t#506                              -0.832627276121702 	(obj:0)
t#507                              -0.950641205353352 	(obj:0)
t#508                              -0.758603349056955 	(obj:0)
t#509                              -0.754129752895863 	(obj:0)
t#510                              -0.983403587007523 	(obj:0)
t#511                              -0.604673140064328 	(obj:0)
t#512                              -0.938942308637227 	(obj:0)
t#513                              -0.797042836587596 	(obj:0)
t#514                              0.0691945380379265 	(obj:0)
t#515                               -0.69751648779834 	(obj:0)
t#516                               -0.91395464925914 	(obj:0)
t#517                              -0.696276212082577 	(obj:0)
t#518                               -1.04952131471606 	(obj:0)
t#519                              -0.922929374468607 	(obj:0)
t#520                              -0.876230213511422 	(obj:0)
t#521                               -0.94084168621691 	(obj:0)
t#522                              -0.940717272352688 	(obj:0)
t#523                              -0.873012336432629 	(obj:0)
t#524                              -0.594942834808317 	(obj:0)
t#525                              -0.695837117677713 	(obj:0)
t#526                              -0.814178538365904 	(obj:0)
t#527                              -0.873662091477499 	(obj:0)
t#528                              -0.852701195387518 	(obj:0)
t#529                              -0.873662091477499 	(obj:0)
t#530                              -0.569617307553675 	(obj:0)
t#531                              -0.879963585135958 	(obj:0)
t#532                              -0.921841086384009 	(obj:0)
t#533                              -0.920388771313718 	(obj:0)
t#534                              -0.997007854598436 	(obj:0)
t#535                              -0.968030617543171 	(obj:0)
t#536                               -1.05060349500133 	(obj:0)
t#537                               -1.04939174426252 	(obj:0)
t#538                              -0.956704957166529 	(obj:0)
t#539                              -0.789487398471978 	(obj:0)
t#540                              -0.899960531788743 	(obj:0)
t#541                              -0.641011524049209 	(obj:0)
t#542                              -0.811372438710873 	(obj:0)
t#543                              -0.891920695969435 	(obj:0)
t#544                              -0.835224742948128 	(obj:0)
t#545                               -0.82255968919959 	(obj:0)
t#546                              -0.999222069610606 	(obj:0)
t#547                              -0.852701195387518 	(obj:0)
t#548                              -0.991595905293403 	(obj:0)
t#549                              -0.904920662457876 	(obj:0)
t#550                              -0.961255500437093 	(obj:0)
t#551                              -0.973830345095118 	(obj:0)
t#552                              -0.686129147896992 	(obj:0)
t#553                               -0.76490114522749 	(obj:0)
t#554                              -0.955304761202262 	(obj:0)
t#555                              -0.236894224077248 	(obj:0)
t#556                              -0.768370250587134 	(obj:0)
t#557                              -0.809129051328741 	(obj:0)
t#558                              -0.691752273533773 	(obj:0)
t#559                              -0.754945379847544 	(obj:0)
t#560                               -0.80336971021699 	(obj:0)
t#561                              -0.818533282480108 	(obj:0)
t#562                              -0.901672756286087 	(obj:0)
t#563                              -0.776278665272887 	(obj:0)
t#564                              -0.816121168466824 	(obj:0)
t#565                              -0.799209312269259 	(obj:0)
t#566                              -0.799209312269259 	(obj:0)
t#567                              -0.988158530678865 	(obj:0)
t#568                               -1.01509391492792 	(obj:0)
t#569                              -0.821018523322729 	(obj:0)
t#570                              -0.524044972790974 	(obj:0)
t#571                               -0.96626271817416 	(obj:0)
t#572                               -1.03599863576569 	(obj:0)
t#573                              -0.871760616278852 	(obj:0)
t#574                              -0.844582451124198 	(obj:0)
t#575                              -0.892657806303085 	(obj:0)
t#576                              -0.775614222028771 	(obj:0)
t#577                              -0.775614222028771 	(obj:0)
t#578                              -0.775614222028771 	(obj:0)
t#579                               -1.01509391492792 	(obj:0)
t#580                               -1.03416710933966 	(obj:0)
t#581                               -0.62653211148758 	(obj:0)
t#582                              0.0525463856799802 	(obj:0)
t#583                              -0.702484236105974 	(obj:0)
t#584                              -0.638973371826008 	(obj:0)
t#585                              -0.775614222028771 	(obj:0)
t#586                              -0.466806835263587 	(obj:0)
t#587                              -0.821239530398645 	(obj:0)
t#588                              -0.838066299954571 	(obj:0)
t#589                              -0.987682303715372 	(obj:0)
t#590                              -0.924176090787807 	(obj:0)
t#591                              -0.873771840408926 	(obj:0)
t#592                              -0.861048522398116 	(obj:0)
t#593                               -0.98640533678868 	(obj:0)
t#594                              -0.964802391063505 	(obj:0)
t#595                              -0.908907782402517 	(obj:0)
t#596                              -0.605687079405384 	(obj:0)
t#597                              -0.854921041681307 	(obj:0)
t#598                               -0.90658653277012 	(obj:0)
t#599                              -0.984919636946869 	(obj:0)
t#600                               -0.78973679915479 	(obj:0)
t#601                              -0.413117666157742 	(obj:0)
t#602                              -0.810713906700324 	(obj:0)
t#603                               -1.02116104856402 	(obj:0)
t#604                               -0.66142153228304 	(obj:0)
t#605                              -0.758831707372062 	(obj:0)
t#606                              -0.820106718797234 	(obj:0)
t#607                              -0.968525353181854 	(obj:0)
t#608                              -0.870804664212663 	(obj:0)
t#609                              -0.965475260411464 	(obj:0)
t#610                              -0.699290935082316 	(obj:0)
t#611                              -0.794479824175795 	(obj:0)
t#612                              -0.819214770759308 	(obj:0)
t#613                              -0.494317184218616 	(obj:0)
